;Lat;Lon
;-24,4884208;-70,1037671
;-24,4884229;-70,1037767
;-24,488424;-70,1037886
;-24,4884244;-70,1037987
;-24,4884262;-70,1038116
;-24,488428;-70,1038215
;-24,4884293;-70,1038324
;-24,4884305;-70,1038446
;-24,4884309;-70,103855
;-24,4884326;-70,1038662
;-24,4884336;-70,1038776
;-24,4884338;-70,1038881
;-24,4884343;-70,1038995
;-24,4884352;-70,1039114
;-24,4884364;-70,1039241
;-24,4884364;-70,103936
;-24,4884366;-70,1039465
;-24,4884363;-70,1039582
;-24,4884359;-70,1039701
;-24,4884355;-70,103981
;-24,4884367;-70,1039934
;-24,4884392;-70,1040047
;-24,4884412;-70,1040172
;-24,4884433;-70,1040304
;-24,4884454;-70,1040437
;-24,4884476;-70,1040566
;-24,4884505;-70,1040695
;-24,488454;-70,1040812
;-24,4884554;-70,1040935
;-24,4884556;-70,1041037
;-24,4884567;-70,1041158
;-24,4884554;-70,1041278
;-24,4884568;-70,1041395
;-24,4884591;-70,1041505
;-24,4884611;-70,1041606
;-24,4884611;-70,1041722
;-24,4884616;-70,1041824
;-24,4884609;-70,1041941
;-24,488459;-70,1042062
;-24,4884582;-70,104218
;-24,4884591;-70,104229
;-24,4884591;-70,1042387
;-24,4884582;-70,1042491
;-24,4884581;-70,1042592
;-24,4884571;-70,1042705
;-24,4884566;-70,1042819
;-24,488456;-70,1042922
;-24,4884581;-70,1043054
;-24,4884588;-70,104315
;-24,4884602;-70,1043254
;-24,4884612;-70,1043373
;-24,4884594;-70,104347
;-24,4884581;-70,1043574
;-24,4884586;-70,1043695
;-24,4884598;-70,1043808
;-24,4884625;-70,1043928
;-24,4884636;-70,1044017
;-24,4884643;-70,1044121
;-24,4884647;-70,1044249
;-24,4884662;-70,1044386
;-24,4884672;-70,1044498
;-24,4884673;-70,1044611
;-24,4884673;-70,1044723
;-24,4884662;-70,1044832
;-24,4884659;-70,1044943
;-24,488466;-70,1045049
;-24,4884659;-70,104516
;-24,488465;-70,1045278
;-24,4884644;-70,104539
;-24,4884645;-70,104552
;-24,4884648;-70,1045662
;-24,4884654;-70,104578
;-24,4884643;-70,1045894
;-24,4884622;-70,1046003
;-24,4884616;-70,1046127
;-24,4884614;-70,1046237
;-24,4884625;-70,1046358
;-24,488463;-70,1046466
;-24,4884633;-70,1046572
;-24,4884634;-70,1046688
;-24,4884643;-70,1046824
;-24,4884666;-70,1046963
;-24,4884659;-70,1047047
;-24,4884669;-70,1047166
;-24,4884669;-70,1047291
;-24,4884688;-70,10474
;-24,4884702;-70,1047517
;-24,4884693;-70,1047656
;-24,4884705;-70,1047775
;-24,4884708;-70,1047897
;-24,4884714;-70,1047985
;-24,4884706;-70,1048108
;-24,4884685;-70,1048223
;-24,4884672;-70,1048334
;-24,4884672;-70,1048451
;-24,4884669;-70,1048563
;-24,4884667;-70,1048683
;-24,4884645;-70,1048788
;-24,4884629;-70,1048901
;-24,4884637;-70,1049016
;-24,4884631;-70,1049144
;-24,4884631;-70,1049275
;-24,4884624;-70,10494
;-24,4884615;-70,1049524
;-24,4884595;-70,1049651
;-24,4884603;-70,1049779
;-24,4884601;-70,1049901
;-24,4884609;-70,1050019
;-24,4884611;-70,1050132
;-24,4884606;-70,1050248
;-24,4884612;-70,1050389
;-24,4884616;-70,105052
;-24,4884647;-70,1050643
;-24,4884671;-70,1050766
;-24,4884677;-70,1050899
;-24,4884675;-70,1051043
;-24,4884678;-70,1051163
;-24,4884683;-70,1051292
;-24,4884698;-70,1051445
;-24,4884705;-70,1051574
;-24,4884726;-70,1051691
;-24,4884742;-70,1051815
;-24,4884752;-70,1051936
;-24,4884772;-70,1052067
;-24,4884798;-70,1052196
;-24,4884797;-70,1052325
;-24,4884788;-70,105246
;-24,4884783;-70,1052578
;-24,4884778;-70,1052695
;-24,4884783;-70,1052813
;-24,4884771;-70,1052934
;-24,4884768;-70,1053053
;-24,4884769;-70,1053171
;-24,4884769;-70,1053291
;-24,4884767;-70,1053418
;-24,4884765;-70,1053542
;-24,4884763;-70,1053665
;-24,4884763;-70,105381
;-24,4884764;-70,1053933
;-24,4884761;-70,1054056
;-24,488476;-70,1054171
;-24,4884756;-70,1054295
;-24,4884762;-70,1054434
;-24,4884756;-70,1054551
;-24,4884749;-70,1054673
;-24,4884752;-70,1054802
;-24,4884749;-70,105493
;-24,4884729;-70,105506
;-24,4884702;-70,105519
;-24,4884678;-70,1055308
;-24,4884662;-70,1055427
;-24,4884645;-70,1055555
;-24,4884621;-70,1055676
;-24,4884602;-70,1055795
;-24,488458;-70,1055912
;-24,4884559;-70,1056031
;-24,4884557;-70,1056156
;-24,4884534;-70,1056285
;-24,4884492;-70,1056409
;-24,4884455;-70,1056534
;-24,4884422;-70,1056662
;-24,4884388;-70,1056782
;-24,4884361;-70,1056929
;-24,4884333;-70,105707
;-24,4884314;-70,1057205
;-24,488431;-70,1057315
;-24,4884313;-70,1057441
;-24,4884311;-70,1057574
;-24,4884297;-70,1057715
;-24,4884296;-70,1057829
;-24,4884302;-70,105797
;-24,4884304;-70,1058082
;-24,4884317;-70,1058213
;-24,4884323;-70,1058347
;-24,4884317;-70,1058488
;-24,4884294;-70,1058602
;-24,4884278;-70,1058764
;-24,4884278;-70,1058891
;-24,4884279;-70,1059021
;-24,488429;-70,1059151
;-24,4884298;-70,1059284
;-24,4884299;-70,1059416
;-24,4884306;-70,1059534
;-24,4884308;-70,1059667
;-24,4884311;-70,1059783
;-24,4884327;-70,1059902
;-24,4884324;-70,1060025
;-24,4884316;-70,1060155
;-24,4884325;-70,1060301
;-24,4884324;-70,1060412
;-24,4884336;-70,106056
;-24,4884332;-70,1060693
;-24,4884337;-70,106082
;-24,4884351;-70,1060949
;-24,4884369;-70,1061078
;-24,4884377;-70,1061214
;-24,4884368;-70,1061327
;-24,4884372;-70,1061459
;-24,4884391;-70,1061581
;-24,4884393;-70,1061711
;-24,4884411;-70,106184
;-24,4884413;-70,1061942
;-24,4884427;-70,1062064
;-24,488444;-70,1062197
;-24,4884451;-70,1062327
;-24,4884446;-70,1062474
;-24,4884458;-70,1062603
;-24,4884473;-70,1062724
;-24,4884498;-70,1062867
;-24,4884515;-70,1062996
;-24,4884524;-70,1063109
;-24,488455;-70,1063237
;-24,488457;-70,1063341
;-24,4884588;-70,1063465
;-24,4884593;-70,1063578
;-24,4884609;-70,1063709
;-24,4884628;-70,1063851
;-24,4884646;-70,1063964
;-24,4884658;-70,1064079
;-24,4884668;-70,1064198
;-24,4884684;-70,1064335
;-24,4884672;-70,1064466
;-24,4884666;-70,1064593
;-24,4884674;-70,1064708
;-24,4884668;-70,1064841
;-24,4884663;-70,1064961
;-24,4884649;-70,1065083
;-24,4884642;-70,1065206
;-24,488464;-70,1065337
;-24,4884639;-70,1065436
;-24,4884648;-70,1065562
;-24,4884655;-70,1065706
;-24,4884659;-70,1065826
;-24,4884678;-70,1065956
;-24,4884691;-70,1066077
;-24,4884705;-70,1066215
;-24,4884699;-70,1066345
;-24,4884683;-70,1066463
;-24,4884687;-70,1066583
;-24,4884692;-70,1066719
;-24,4884697;-70,1066853
;-24,4884694;-70,1066976
;-24,488469;-70,106711
;-24,4884698;-70,1067253
;-24,4884697;-70,1067394
;-24,4884697;-70,1067518
;-24,4884698;-70,1067654
;-24,4884714;-70,1067787
;-24,4884731;-70,1067921
;-24,4884745;-70,1068041
;-24,4884757;-70,1068169
;-24,4884783;-70,1068307
;-24,488479;-70,1068451
;-24,4884787;-70,1068604
;-24,4884776;-70,106872
;-24,4884765;-70,1068848
;-24,4884781;-70,1068989
;-24,4884788;-70,1069116
;-24,4884783;-70,1069241
;-24,4884798;-70,106939
;-24,4884817;-70,1069524
;-24,4884823;-70,1069645
;-24,4884827;-70,1069771
